Model,R²,Adjusted R²,MAE,MSE,RMSE,CV Score
CatBoost,0.9369109694709289,0.9322805819091622,0.0755284436740485,0.011673318014989267,0.10804313034612273,0.9047647046737957
Gradient Boosting,0.9257998159237337,0.920353930853916,0.08059095636892186,0.013729206776982814,0.11717169784970607,0.8989515777663776
Extra Trees,0.9226237942940277,0.9169448067192775,0.08092241263565954,0.014316863778447732,0.11965309765504499,0.8892008302619516
LightGBM,0.9208981004152819,0.915092456409064,0.08510779215798722,0.01463616767762301,0.12098003007779015,0.8923651835083424
Random Forest,0.9198014408235242,0.9139153080399297,0.08294908572513852,0.01483908181438211,0.12181576997409699,0.8748840442382342
XGBoost,0.9158204876594154,0.9096421748270789,0.09018805983311222,0.015575674719641724,0.1248025429213753,0.8800077812571697
Ridge,0.9153250480648013,0.9091103726934106,0.0879792323527427,0.015667345552061358,0.12516926760216088,0.8875772411637162
Linear Regression,0.9152396439525998,0.9090187003894878,0.0880214673309651,0.015683147813613876,0.12523237526140704,0.8875461745299905
AdaBoost,0.8508797740563366,0.8399351703173522,0.12974876216047881,0.02759160832413357,0.16610721936187353,0.8121117134011095
Decision Tree,0.7901059609866039,0.7747008939030519,0.13531178440068753,0.03883654331516341,0.1970698944921913,0.7414864673565008
ElasticNet,-0.011340115902936931,-0.08556691340040024,0.3394606228232269,0.18712753540904514,0.4325824030274985,-0.0008397975908597033
Lasso,-0.011340115902936931,-0.08556691340040024,0.3394606228232269,0.18712753540904514,0.4325824030274985,-0.0008397975908597033
