iter	Passed	Remaining
0	4	4309
1	8	4057
2	13	4330
3	17	4395
4	21	4183
5	24	4095
6	28	4006
7	32	4064
8	37	4151
9	43	4324
10	47	4283
11	52	4318
12	56	4267
13	59	4215
14	63	4187
15	67	4151
16	71	4140
17	76	4184
18	80	4160
19	84	4148
20	89	4174
21	93	4150
22	97	4138
23	101	4114
24	106	4140
25	109	4115
26	113	4085
27	117	4082
28	121	4064
29	126	4076
30	129	4063
31	133	4037
32	137	4024
33	140	3995
34	144	3971
35	147	3957
36	151	3940
37	154	3910
38	157	3882
39	160	3852
40	163	3833
41	167	3827
42	171	3817
43	177	3850
44	182	3862
45	185	3851
46	189	3849
47	198	3945
48	205	3990
49	211	4019
50	218	4059
51	226	4124
52	231	4140
53	239	4194
54	244	4202
55	250	4225
56	254	4209
57	258	4200
58	262	4192
59	267	4185
60	271	4175
61	274	4150
62	278	4134
63	281	4117
64	286	4114
65	290	4104
66	293	4083
67	296	4066
68	300	4053
69	318	4229
70	322	4213
71	325	4195
72	329	4182
73	333	4173
74	338	4170
75	342	4162
76	346	4150
77	351	4151
78	354	4133
79	358	4126
80	362	4118
81	366	4107
82	369	4080
83	372	4062
84	376	4053
85	380	4043
86	384	4030
87	387	4020
88	391	4012
89	396	4013
90	400	4000
91	404	3989
92	408	3983
93	412	3971
94	415	3960
95	419	3949
96	423	3939
97	426	3924
98	429	3913
99	433	3898
100	437	3895
101	441	3884
102	444	3870
103	447	3858
104	451	3849
105	455	3844
106	458	3830
107	462	3821
108	466	3812
109	469	3802
110	473	3793
111	477	3786
112	482	3784
113	485	3776
114	489	3770
115	493	3762
116	497	3755
117	503	3760
118	506	3751
119	510	3740
120	513	3733
121	517	3722
122	520	3713
123	524	3703
124	528	3696
125	531	3686
126	536	3689
127	541	3689
128	545	3681
129	549	3678
130	555	3688
131	560	3686
132	564	3682
133	569	3679
134	574	3681
135	580	3688
136	585	3685
137	589	3682
138	602	3730
139	605	3721
140	609	3713
141	613	3708
142	620	3718
143	624	3713
144	629	3714
145	633	3707
146	637	3699
147	642	3695
148	646	3693
149	650	3688
150	654	3680
151	656	3664
152	663	3675
153	668	3672
154	672	3668
155	677	3664
156	682	3665
157	687	3662
158	691	3658
159	696	3654
160	700	3648
161	704	3644
162	709	3641
163	713	3635
164	716	3627
165	720	3619
166	724	3611
167	728	3607
168	732	3599
169	736	3593
170	740	3588
171	741	3570
172	744	3560
173	748	3552
174	753	3550
175	756	3542
176	761	3539
177	766	3537
178	770	3531
179	773	3525
180	776	3515
181	780	3509
182	783	3499
183	787	3491
184	791	3485
185	796	3486
186	800	3480
187	803	3471
188	806	3462
189	810	3454
190	813	3446
191	816	3437
192	820	3430
193	824	3424
194	827	3416
195	830	3407
196	833	3399
197	837	3393
198	841	3387
199	845	3380
200	848	3373
201	852	3366
202	854	3353
203	858	3349
204	862	3343
205	868	3348
206	872	3343
207	874	3331
208	880	3332
209	885	3331
210	892	3336
211	896	3332
212	901	3331
213	906	3330
214	913	3334
215	917	3331
216	923	3331
217	928	3329
218	932	3325
219	939	3329
220	943	3327
221	949	3327
222	954	3325
223	959	3322
224	964	3321
225	968	3316
226	974	3318
227	979	3316
228	984	3314
229	990	3316
230	995	3313
231	1001	3314
232	1007	3317
233	1020	3339
234	1026	3342
235	1032	3342
236	1038	3342
237	1042	3337
238	1048	3337
239	1053	3335
240	1057	3330
241	1062	3326
242	1067	3326
243	1072	3324
244	1077	3321
245	1082	3316
246	1087	3314
247	1094	3317
248	1101	3320
249	1109	3327
250	1118	3337
251	1125	3342
252	1133	3345
253	1141	3351
254	1148	3354
255	1153	3351
256	1160	3355
257	1168	3360
258	1174	3358
259	1177	3351
260	1181	3344
261	1185	3338
262	1188	3330
263	1193	3326
264	1196	3319
265	1201	3314
266	1204	3308
267	1208	3299
268	1212	3293
269	1215	3285
270	1218	3278
271	1221	3270
272	1225	3262
273	1228	3254
274	1231	3247
275	1235	3239
276	1239	3235
277	1245	3233
278	1251	3235
279	1256	3230
280	1262	3231
281	1270	3234
282	1274	3228
283	1278	3224
284	1283	3220
285	1287	3214
286	1291	3207
287	1294	3200
288	1299	3195
289	1302	3189
290	1307	3185
291	1311	3179
292	1314	3172
293	1319	3168
294	1325	3166
295	1328	3160
296	1332	3153
297	1336	3148
298	1340	3141
299	1343	3134
300	1347	3128
301	1350	3122
302	1354	3114
303	1357	3108
304	1361	3103
305	1365	3096
306	1369	3090
307	1373	3086
308	1379	3085
309	1384	3081
310	1387	3074
311	1391	3068
312	1395	3062
313	1398	3056
314	1403	3051
315	1406	3045
316	1411	3040
